Column_one,Column_two,Correlation
Persons with ICT education,Persons with ICT education,1.0
Persons with ICT education,Individuals lost information as a result of a virus programs,0.06947890818858561
Persons with ICT education,Individuals use a smartphone,-0.15080449794963302
Persons with ICT education,Enterprises that provided training to develop/upgrade ICT skills of their personnel ,-0.034739561045306976
Persons with ICT education,Individuals - internet use,-0.15574890771847344
Persons with ICT education,Had online purchase in the last 3 months,0.0024722048844202133
Persons with ICT education,Percentage of ICT sector in GDP,0.021818326072054212
Persons with ICT education,Percentage of the ICT personnel in total employment,-0.03180920799109799
Persons with ICT education,Employed ICT specialists,-0.0349654149412895
Persons with ICT education,Enterprises that recruited or tried to recruit ICT specialists,-0.06657795516141342
Individuals lost information as a result of a virus programs,Persons with ICT education,0.06947890818858561
Individuals lost information as a result of a virus programs,Individuals lost information as a result of a virus programs,1.0
Individuals lost information as a result of a virus programs,Individuals use a smartphone,-0.09641599049238833
Individuals lost information as a result of a virus programs,Enterprises that provided training to develop/upgrade ICT skills of their personnel ,-0.1276595744680851
Individuals lost information as a result of a virus programs,Individuals - internet use,-0.17058213702499472
Individuals lost information as a result of a virus programs,Had online purchase in the last 3 months,-0.21013741517571813
Individuals lost information as a result of a virus programs,Percentage of ICT sector in GDP,0.15841615217391916
Individuals lost information as a result of a virus programs,Percentage of the ICT personnel in total employment,-0.0391304347826087
Individuals lost information as a result of a virus programs,Employed ICT specialists,-0.2743176263746163
Individuals lost information as a result of a virus programs,Enterprises that recruited or tried to recruit ICT specialists,-0.022955547298999308
Individuals use a smartphone,Persons with ICT education,-0.15080449794963302
Individuals use a smartphone,Individuals lost information as a result of a virus programs,-0.09641599049238832
Individuals use a smartphone,Individuals use a smartphone,0.9999999999999998
Individuals use a smartphone,Enterprises that provided training to develop/upgrade ICT skills of their personnel ,0.4031844422501792
Individuals use a smartphone,Individuals - internet use,0.6896551724137929
Individuals use a smartphone,Had online purchase in the last 3 months,0.48768472906403937
Individuals use a smartphone,Percentage of ICT sector in GDP,0.08300395256916997
Individuals use a smartphone,Percentage of the ICT personnel in total employment,0.38177964008283694
Individuals use a smartphone,Employed ICT specialists,0.429829915561914
Individuals use a smartphone,Enterprises that recruited or tried to recruit ICT specialists,0.3742872419918606
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Persons with ICT education,-0.034739561045306976
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Individuals lost information as a result of a virus programs,-0.1276595744680851
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Individuals use a smartphone,0.4031844422501792
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Enterprises that provided training to develop/upgrade ICT skills of their personnel ,1.0
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Individuals - internet use,0.4668451436581022
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Had online purchase in the last 3 months,0.4986754943620637
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Percentage of ICT sector in GDP,0.07920807608695958
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Percentage of the ICT personnel in total employment,0.24999999999999997
Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Employed ICT specialists,0.49066953691505877
