country,males,females
Belgium,60.67,58.11
Bulgaria,34.83,36.19
Czechia,69.48,68.77
Denmark,71.16,68.07
Germany,55.14,49.30
Estonia,63.16,62.09
Ireland,66.91,69.79
Greece,53.15,51.67
Spain,66.49,65.87
France,59.14,60.18
Croatia,60.22,57.71
Italy,47.36,44.16
Cyprus,47.89,50.95
Latvia,44.12,46.43
Lithuania,50.38,55.24
Luxembourg,63.60,56.56
Hungary,59.65,58.16
Malta,62.74,63.33
Netherlands,82.83,82.56
Austria,68.71,60.67
Poland,45.68,42.99
Portugal,57.21,54.84
Romania,29.06,26.47
Slovenia,46.92,46.47
Slovakia,52.65,50.01
Finland,80.94,83.05
Sweden,65.76,67.15
Norway,81.53,80.63
Switzerland,79.29,75.77
Herzegovina,30.84,29.26
Montenegro,53.49,50.04
Serbia,34.59,31.10
Türkiye,36.81,29.43
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
