freq,size_emp,nace_r2,indic_is,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,ES	: 	: 	: 	1.1 	: 	2.1 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,PT	: 	: 	: 	4.3 	: 	5.1 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,SE	: 	: 	: 	1.3 	: 	1.1 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_HI,PC_ENT,UK	: 	: 	: 	2.1 	: 	5.1 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,ES	: 	: 	: 	12.5 	: 	18.9 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,PT	: 	: 	: 	22.7 	: 	27.6 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,SE	: 	: 	: 	19.8 	: 	35.6 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_LO,PC_ENT,UK	: 	: 	: 	27.6 	: 	30.2 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,ES	: 	: 	: 	0.0 	: 	0.0 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,PT	: 	: 	: 	0.1 	: 	0.1 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VHI,PC_ENT,UK	: 	: 	: 	0 	: 	0 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,ES	: 	: 	: 	86.4 	: 	79.0 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,PT	: 	: 	: 	72.9 	: 	67.3 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,SE	: 	: 	: 	78.9 	: 	63.3 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI2_VLO,PC_ENT,UK	: 	: 	: 	70.3 	: 	64.7 	: 	: 	: 
A,0-9,C10-S951_X_K,E_DI3_GELO,PC_ENT,ES	: 	: 	: 	: 	: 	: 	: 	: 	23.5 
A,0-9,C10-S951_X_K,E_DI3_GELO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	: 	33.0 
A,0-9,C10-S951_X_K,E_DI3_HI,PC_ENT,ES	: 	: 	: 	: 	: 	: 	3.3 	: 	4.6 
A,0-9,C10-S951_X_K,E_DI3_HI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	6.0 	: 	7.1 
A,0-9,C10-S951_X_K,E_DI3_HI,PC_ENT,SE	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,0-9,C10-S951_X_K,E_DI3_LO,PC_ENT,ES	: 	: 	: 	: 	: 	: 	18.8 	: 	18.3 
A,0-9,C10-S951_X_K,E_DI3_LO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	24.3 	: 	24.9 
A,0-9,C10-S951_X_K,E_DI3_LO,PC_ENT,SE	: 	: 	: 	: 	: 	: 	20.3 	: 	: 
A,0-9,C10-S951_X_K,E_DI3_VHI,PC_ENT,ES	: 	: 	: 	: 	: 	: 	0.3 	: 	0.7 
A,0-9,C10-S951_X_K,E_DI3_VHI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	0.6 	: 	1.0 
A,0-9,C10-S951_X_K,E_DI3_VLO,PC_ENT,ES	: 	: 	: 	: 	: 	: 	77.5 	: 	76.5 
A,0-9,C10-S951_X_K,E_DI3_VLO,PC_ENT,PT	: 	: 	: 	: 	: 	: 	69.1 	: 	67.0 
A,0-9,C10-S951_X_K,E_DI3_VLO,PC_ENT,SE	: 	: 	: 	: 	: 	: 	79.7 	: 	: 
A,0-9,C10-S951_X_K,E_DI4_HI,PC_ENT,ES	: 	: 	: 	: 	: 	: 	: 	3.7 	: 
A,0-9,C10-S951_X_K,E_DI4_HI,PC_ENT,PT	: 	: 	: 	: 	: 	: 	: 	14.4 	: 
