STRUCTURE,STRUCTURE_ID,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,AT,2018,5.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,AT,2020,10.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,BA,2020,4.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,BE,2018,12.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,BE,2020,21.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,BG,2018,3.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,BG,2020,3.5,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,CY,2018,4.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,CY,2020,9.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,CZ,2018,5.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,CZ,2020,10.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,DE,2018,4.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,DE,2020,9.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,DK,2018,27.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,DK,2020,36.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EA,2018,7.1,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EA,2020,12.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EE,2018,8.2,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EE,2020,21.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EL,2018,2.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EL,2020,,u
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,ES,2018,9.8,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,ES,2020,12.4,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EU15,2018,7.7,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EU27_2007,2018,7.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EU27_2020,2018,7.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EU27_2020,2020,11.9,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,EU28,2018,7.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,FI,2018,32.3,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,FI,2020,38.0,
dataflow,ESTAT:ISOC_E_DII(1.0),A,10-49,C10-S951_X_K,E_DI2_HI,PC_ENT,FR,2018,5.9,
