freq,unit,isced11,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,ED0-4,AT	63.2 be	66.0 be	64.9 be	63.4 be	67.1 e	59.7 e	62.2 e	68.2 b	67.6 	66.3 	40.8 b	42.3 e	38.2 e	36.8 e	37.5 	36.0 	37.8 	36.6 b	32.8 
A,PC,ED0-4,BE	29.8 e	32.9 be	34.8 e	37.3 e	38.9 be	36.2 e	34.2 e	30.3 be	29.9 	27.0 	24.6 be	23.8 	23.8 	22.7 b	23.1 	23.2 	22.2 	20.6 b	18.7 
A,PC,ED0-4,BG	56.4 e	55.0 be	56.9 be	54.1 e	52.4 be	52.2 e	52.3 be	40.8 be	37.4 e	35.1 e	31.1 be	35.1 e	32.2 e	32.8 e	31.2 e	29.1 e	25.8 e	23.9 be	23.8 e
A,PC,ED0-4,CH	: 	: 	: 	: 	: 	: 	: 	44.0 be	41.8 	40.2 	41.9 be	40.4 	38.8 	35.7 	34.3 	34.4 	34.0 	33.8 be	32.7 
A,PC,ED0-4,CY	39.6 e	33.7 be	31.2 e	29.1 e	33.0 e	34.7 be	33.3 e	23.1 be	18.7 e	22.6 e	25.4 be	25.8 e	24.5 e	17.6 e	14.7 e	16.1 e	18.0 e	16.4 be	15.2 e
A,PC,ED0-4,CZ	73.9 e	70.1 be	69.8 e	70.3 e	70.6 e	65.1 e	62.1 be	48.7 be	49.4 e	48.6 e	47.5 be	43.7 e	43.6 e	43.1 	45.7 e	47.0 e	43.3 e	41.8 be	44.2 e
A,PC,ED0-4,DE	48.3 e	51.4 be	52.5 be	53.1 e	52.5 e	50.7 e	51.8 be	53.1 be	53.6 b	53.9 	53.1 b	51.8 	50.3 	49.8 	49.7 	48.7 	49.1 b	46.1 b	45.9 
A,PC,ED0-4,DK	50.1 e	48.7 be	45.0 e	52.2 be	53.1 be	51.3 e	50.3 e	51.0 be	50.5 e	50.3 e	47.1 be	47.1 e	43.5 be	42.1 be	42.7 e	43.3 e	42.4 e	41.5 be	41.0 e
A,PC,ED0-4,EE	52.1 e	47.2 be	40.4 e	47.6 e	45.7 e	49.2 e	47.0 e	43.9 b	43.1 	44.9 e	44.0 b	41.9 	42.8 e	42.9 e	40.9 e	43.1 	41.2 e	40.4 be	41.1 e
A,PC,ED0-4,EL	47.1 be	46.4 be	44.7 e	43.1 e	43.4 e	43.4 be	41.0 e	34.0 be	33.7 e	31.9 e	31.1 be	34.5 e	35.9 e	31.5 e	28.4 e	28.3 e	31.9 e	27.6 be	27.4 e
A,PC,ED0-4,ES	31.9 e	31.8 be	28.6 be	27.9 e	27.1 e	26.1 e	25.6 e	21.5 be	20.7 e	19.6 e	19.7 be	19.8 e	20.0 e	19.2 e	17.7 e	17.5 e	16.9 e	17.8 bde	17.0 de
A,PC,ED0-4,EU27_2020	52.9 e	52.4 be	51.5 e	51.6 e	51.4 e	49.0 e	48.3 e	44.9 be	44.7 e	43.4 e	41.3 be	40.1 e	39.3 e	37.9 e	37.5 e	36.3 e	36.0 e	34.9 be	34.6 e
A,PC,ED0-4,FI	47.6 e	48.8 be	47.1 e	45.5 be	46.3 be	41.6 e	41.7 e	40.2 b	39.5 	36.3 	35.5 b	35.1 	35.5 	36.9 	36.8 e	34.3 	31.2 	36.1 b	38.1 e
A,PC,ED0-4,FR	48.6 e	45.0 be	43.2 be	44.1 e	45.6 e	40.8 e	39.7 e	28.6 be	26.6 e	25.5 b	26.0 b	23.8 	22.9 	19.9 	19.9 	18.7 	19.1 	18.3 bde	18.1 d
A,PC,ED0-4,HR	50.4 u	50.0 bu	53.2 bu	56.0 e	52.0 e	50.9 e	44.2 be	44.9 be	48.5 e	46.4 e	37.8 be	41.7 e	47.4 e	45.3 e	39.9 e	42.3 e	43.0 e	38.8 be	34.7 e
A,PC,ED0-4,HU	66.2 e	65.9 be	62.3 e	62.1 e	62.4 e	59.9 e	59.9 e	44.7 be	42.9 e	41.1 e	35.6 be	34.1 e	34.5 e	36.4 	35.6 e	36.7 e	34.8 e	30.1 be	33.2 e
A,PC,ED0-4,IE	34.1 e	34.4 be	31.4 e	29.1 be	28.1 e	26.8 e	24.7 e	21.4 be	19.0 e	17.6 e	19.6 be	18.7 e	17.2 e	16.3 be	17.2 e	18.4 e	16.5 e	17.9 be	17.2 e
A,PC,ED0-4,IS	: 	: 	: 	: 	: 	: 	: 	46.9 be	49.6 e	48.5 e	43.4 be	48.9 e	40.8 e	39.0 e	40.4 e	33.3 e	32.0 be	33.1 be	30.4 e
A,PC,ED0-4,IT	80.4 be	77.2 be	75.8 e	74.2 e	73.5 e	74.2 e	73.9 e	71.7 be	71.1 e	68.4 e	66.8 be	65.6 e	66.0 e	64.6 e	65.0 e	62.8 e	60.4 e	58.7 be	60.4 e
A,PC,ED0-4,LT	36.4 u	42.7 bu	50.4 u	41.6 u	37.4 u	32.3 u	22.4 u	25.8 bu	22.9 u	24.4 e	23.9 be	20.2 e	20.0 e	17.1 e	18.3 e	16.7 e	14.9 e	15.8 be	21.3 e
A,PC,ED0-4,LU	46.9 e	38.9 be	50.3 e	47.7 be	42.0 e	36.5 be	32.3 e	34.7 be	28.8 e	30.4 e	27.2 be	25.6 be	22.4 e	23.0 e	27.3 e	20.7 e	22.9 e	23.2 be	22.4 e
A,PC,ED0-4,LV	60.4 e	62.9 be	67.4 e	57.4 e	54.2 e	50.6 e	48.0 e	40.1 be	39.9 e	40.2 e	43.6 be	37.6 e	31.6 e	33.9 e	39.6 e	38.4 e	33.8 e	34.0 be	36.3 e
A,PC,ED0-4,ME	: 	: 	: 	: 	: 	: 	: 	41.7 bu	36.2 u	32.2 u	37.5 bu	34.6 u	41.1 e	38.9 e	33.8 u	27.6 u	41.4 e	: 	: 
A,PC,ED0-4,MK	: 	: 	: 	: 	: 	: 	: 	51.8 be	51.0 e	54.6 e	46.4 be	41.9 e	40.2 e	37.5 e	32.3 e	37.8 e	40.0 e	: 	: 
A,PC,ED0-4,MT	76.1 be	80.3 be	82.0 e	69.4 e	68.4 e	72.8 e	68.7 e	47.0 be	48.8 e	55.1 e	48.1 be	43.2 e	45.4 e	45.5 e	40.0 e	44.6 e	42.9 e	38.1 be	47.9 e
A,PC,ED0-4,NL	46.9 e	47.1 b	47.2 b	49.7 e	45.3 	45.8 	44.1 	46.0 be	45.2 	42.3 b	41.8 b	41.2 	40.3 	39.4 	38.6 	36.8 b	36.3 	38.8 b	37.9 
A,PC,ED0-4,NO	: 	: 	: 	: 	: 	: 	: 	46.5 be	45.2 e	41.7 e	40.4 be	37.9 e	35.8 e	37.3 e	37.1 e	37.0 e	35.9 e	33.0 be	30.5 e
A,PC,ED0-4,PL	51.6 be	48.4 be	47.6 e	49.3 e	50.5 e	44.0 e	41.8 be	37.6 be	35.8 e	34.2 e	29.8 be	28.4 e	30.4 e	29.6 e	27.3 e	26.4 e	27.6 e	28.1 be	27.0 e
A,PC,ED0-4,PT	69.7 be	68.2 be	66.8 e	65.9 e	66.0 e	61.1 e	59.2 e	58.1 be	57.4 e	59.2 e	49.9 be	47.4 e	47.7 e	48.5 e	45.5 e	40.5 e	39.2 e	39.2 be	36.1 e
A,PC,ED0-4,RO	: 	58.9 be	55.5 e	55.0 e	51.7 e	51.3 e	52.5 be	36.6 be	39.0 e	32.9 e	32.7 be	30.2 e	30.1 e	32.0 e	30.7 e	25.7 e	23.7 e	23.4 be	22.8 e
A,PC,ED0-4,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.4 e	53.7 be	40.2 e	41.3 e	41.9 e	43.2 e	42.2 e	42.5 e	43.6 be	37.1 e
A,PC,ED0-4,SE	62.4 e	61.2 be	58.9 be	58.2 e	55.7 e	53.9 e	53.6 e	49.7 b	50.2 	49.5 	48.2 b	46.9 	43.4 	41.1 	40.3 be	40.7 e	41.3 e	37.4 b	34.1 
A,PC,ED0-4,SI	64.8 e	60.5 be	60.3 e	56.7 e	59.1 e	56.1 e	58.5 e	51.5 be	49.7 e	49.5 e	46.3 be	44.0 e	43.6 e	35.7 e	39.4 e	39.4 e	35.8 e	35.3 be	35.3 e
A,PC,ED0-4,SK	67.1 e	66.8 be	69.1 e	68.3 e	69.7 e	61.9 e	59.8 e	45.5 be	43.4 e	48.2 	39.9 be	38.5 e	41.5 e	37.8 e	35.7 e	30.7 e	34.1 e	36.7 be	34.0 
A,PC,ED0-4,TR	: 	: 	: 	: 	: 	: 	: 	63.6 be	52.2 be	47.4 e	42.3 be	40.7 e	38.2 e	40.7 e	37.1 e	35.7 e	37.3 e	: 	: 
A,PC,ED0-4,UK	: 	: 	: 	: 	: 	: 	: 	38.3 be	38.3 e	35.5 e	35.0 be	34.3 e	34.9 e	33.5 e	34.4 e	32.4 e	: 	: 	: 
A,PC,ED5-8,AT	36.8 be	34.0 be	35.1 be	36.6 be	32.9 e	40.3 e	37.8 e	31.8 b	32.4 	33.7 e	59.2 b	57.7 	61.8 	63.2 	62.5 	64.0 	62.2 	63.4 b	67.2 
A,PC,ED5-8,BE	70.2 e	67.0 be	65.2 e	62.7 e	61.1 be	63.8 e	65.8 e	69.7 be	70.1 	73.0 	75.4 b	76.2 	76.2 	77.3 b	76.9 	76.8 	77.8 	79.4 b	81.3 
A,PC,ED5-8,BG	43.6 e	45.0 be	43.1 be	45.9 e	47.6 be	47.8 e	47.7 be	59.2 be	62.6 e	64.9 e	68.9 be	64.9 e	67.8 e	67.2 e	68.8 e	70.9 	74.2 	76.1 b	76.2 
A,PC,ED5-8,CH	: 	: 	: 	: 	: 	: 	: 	55.4 b	58.0 	59.6 	57.9 b	59.4 	61.0 	64.2 e	65.5 	65.4 	65.8 	65.8 b	66.7 
A,PC,ED5-8,CY	60.4 e	66.3 be	68.8 e	70.9 e	67.0 e	65.3 be	66.7 e	76.9 be	81.3 e	77.4 e	74.6 be	74.2 	75.5 	82.4 	85.3 	83.9 	82.0 	83.6 b	84.8 
A,PC,ED5-8,CZ	26.0 e	29.9 be	30.2 e	29.7 e	29.4 e	34.9 e	37.8 be	51.3 b	50.6 	51.4 	52.4 b	56.3 	56.4 	56.9 	54.3 	53.0 	56.7 	58.2 b	55.8 
A,PC,ED5-8,DE	47.0 e	48.6 be	47.5 be	46.9 e	47.3 e	49.1 e	48.1 be	46.8 be	46.4 b	46.0 	46.8 b	48.1 	49.6 	50.1 	50.2 	51.2 	50.5 b	53.9 b	54.1 
A,PC,ED5-8,DK	49.3 e	50.9 be	54.9 e	45.8 be	45.1 be	46.1 e	47.4 e	47.0 be	47.8 e	46.5 e	51.6 be	51.9 e	54.4 be	55.9 be	56.4 e	55.8 e	57.0 e	58.3 b	58.8 
A,PC,ED5-8,EE	47.9 u	52.8 be	59.6 e	52.4 e	54.3 e	50.8 e	53.0 e	55.5 be	56.9 	55.1 e	55.9 be	58.1 e	57.2 e	57.1 	59.1 	56.9 e	58.8 e	59.6 b	58.9 
A,PC,ED5-8,EL	52.9 be	53.6 be	55.3 e	56.9 e	56.6 e	56.6 be	59.0 e	66.0 be	66.3 e	68.1 e	68.9 be	65.5 e	64.1 e	68.5 e	71.6 e	71.7 e	68.1 e	72.4 b	72.6 
A,PC,ED5-8,ES	68.1 e	68.2 be	71.4 be	72.1 e	72.9 e	73.9 e	74.4 e	78.5 be	79.3 e	80.4 e	80.3 be	80.2 e	80.0 e	80.8 e	82.3 e	82.5 e	83.1 e	82.2 bd	83.0 d
