freq,unit,sex,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC,F,AT	22.1 be	20.0 be	19.7 e	20.9 be	17.6 e	18.8 e	19.1 e	13.2 b	16.8 e	14.2 e	13.4 e	14.3 e	17.1 	15.7 e	18.4 	20.4 	20.3 	19.0 b	19.3 
A,PC,F,BE	15.1 e	18.1 be	17.2 e	18.7 e	17.3 e	18.3 e	19.1 e	16.7 be	17.1 	15.5 	15.2 	15.1 	14.1 	15.6 b	16.8 	17.2 e	17.4 	19.6 b	18.7 
A,PC,F,BG	26.3 e	26.4 be	28.2 e	28.9 e	31.3 be	30.6 e	31.1 be	32.9 be	32.3 e	29.7 e	31.5 e	30.8 e	28.9 e	29.0 e	29.9 e	28.1 	28.2 	28.2 b	28.9 
A,PC,F,CH	: 	: 	: 	: 	: 	: 	: 	12.6 be	13.3 e	14.2 e	13.8 e	14.2 	15.0 	15.2 	14.5 	16.6 e	16.3 e	16.3 b	15.9 
A,PC,F,CY	13.4 u	20.9 be	18.5 e	19.3 e	15.1 u	15.5 bu	18.1 e	20.1 be	19.0 e	16.4 e	15.7 e	20.8 e	23.6 e	18.2 e	18.8 e	19.2 e	18.2 e	19.3 be	21.6 e
A,PC,F,CZ	26.5 e	28.3 be	28.9 e	28.6 e	27.8 e	23.5 e	21.3 be	10.7 be	10.9 e	10.6 	9.9 e	9.8 e	10.0 e	10.1 	9.7 	10.2 e	10.3 	10.0 b	10.9 
A,PC,F,DE	21.5 e	21.4 be	21.3 be	21.7 e	21.2 e	20.1 e	19.5 be	16.5 be	15.2 b	15.6 	16.5 	16.3 	16.6 	16.6 	16.8 	16.8 	17.6 b	19.4 b	19.0 
A,PC,F,DK	23.0 e	22.8 be	22.1 e	24.9 e	22.6 be	22.4 e	22.3 e	19.6 be	19.1 e	18.9 e	18.1 e	20.3 e	21.0 be	20.2 be	20.4 e	21.5 e	22.9 e	22.9 be	22.0 e
A,PC,F,EE	: u	44.1 be	31.3 e	35.2 e	37.4 e	40.0 e	39.3 e	23.7 be	26.2 e	20.7 e	19.4 e	22.3 e	20.5 e	20.3 e	22.5 	23.8 e	22.7 e	22.6 be	24.5 e
A,PC,F,EL	33.1 be	34.9 be	35.0 e	36.6 e	38.3 e	37.4 be	36.5 e	20.1 be	22.1 e	21.4 e	20.8 e	17.3 e	17.1 e	15.4 e	15.5 e	20.2 e	27.0 e	21.0 b	20.3 
A,PC,F,ES	22.1 e	22.7 be	22.6 be	23.3 e	23.5 e	22.7 e	22.7 e	19.0 be	18.5 e	19.1 e	18.2 e	17.9 e	17.2 e	16.4 e	17.3 e	19.0 e	19.0 e	19.4 bd	18.0 d
A,PC,F,EU27_2020	23.2 e	22.9 be	23.1 e	23.1 e	23.1 e	22.9 e	22.5 e	16.9 be	17.0 e	16.6 e	16.2 e	16.4 e	17.0 e	17.1 e	17.2 e	17.8 e	18.5 e	19.1 be	18.9 e
A,PC,F,FI	24.1 e	25.0 be	23.4 e	23.7 be	24.3 be	24.6 e	23.7 e	19.1 b	20.0 	20.7 	20.8 	22.3 	21.0 	20.4 	19.9 	21.1 	23.3 	23.9 b	23.8 
A,PC,F,FR	23.6 e	20.9 be	21.9 be	20.9 e	21.2 e	22.3 e	22.2 e	19.5 be	20.0 e	19.5 b	16.9 b	15.8 	17.6 	18.5 	19.2 	19.7 	20.1 	20.9 bd	19.0 de
