freq,nace_r2,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C_ICT,AT	0.45 	0.43 	0.49 	0.46 	0.46 	: c	0.44 	0.44 	0.46 	0.52 b	0.51 	0.44 
A,C_ICT,BA	: 	: 	: 	: 	: 	0.03 	0.06 be	0.06 be	: c	: c	: c	: c
A,C_ICT,BE	0.48 	0.39 	0.22 	0.22 	0.22 	0.24 	0.19 	0.21 	0.21 	0.21 b	0.23 	0.21 p
A,C_ICT,BG	0.12 	0.17 	0.16 	0.17 	0.19 	0.22 	0.24 	0.25 	0.29 	0.3 b	0.2 	0.21 
A,C_ICT,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,C_ICT,CZ	0.34 	0.39 	0.35 	0.41 	0.44 	0.44 	0.37 	0.39 	0.36 	0.38 	0.33 	0.39 
A,C_ICT,DE	0.37 	0.44 	0.41 	0.34 	0.36 	0.38 	0.43 	0.43 	0.4 	0.43 b	0.4 p	0.36 p
A,C_ICT,DK	0.23 	0.22 	0.21 	: c	: c	: c	: c	: c	: c	0.14 	0.16 	0.16 
A,C_ICT,EE	0.59 	0.73 	1.05 	0.79 	0.81 	0.8 	0.66 	0.65 	0.66 	0.72 b	0.73 	: c
A,C_ICT,EL	: c	: c	0.04 	0.05 	0.04 	0.04 	0.03 	0.05 	0.03 	0.04 b	0.03 	0.04 p
A,C_ICT,ES	0.1 	0.11 	0.08 	0.07 	0.07 	0.07 	: c	: c	: c	0.08 b	: c	: c
A,C_ICT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,C_ICT,FI	1.34 	1.5 	0.68 	-0.13 	: c	: c	0.24 	: c	0.93 b	0.37 	0.25 	0.93 
A,C_ICT,FR	0.26 	0.28 	0.3 	0.3 	: c	0.25 b	0.26 b	0.28 	0.24 b	0.43 	0.48 p	0.44 p
A,C_ICT,HR	0.25 	0.21 	0.17 	0.1 	0.35 	0.36 	0.41 	0.41 	0.4 	0.37 	0.1 b	0.12 
A,C_ICT,HU	1.62 	1.54 	2.04 	1.85 	1.75 	1.63 	1.65 	1.6 	1.84 	1.65 b	1.78 	1.45 
A,C_ICT,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,C_ICT,IS	: 	: 	: 	: 	: 	: 	: 	0 p	0 p	0 	0 p	0 p
A,C_ICT,IT	0.27 	0.31 	0.31 	0.3 	0.26 	0.24 	0.24 	0.22 	0.24 b	0.24 	0.25 	: c
A,C_ICT,LT	: c	0.16 	0.15 	0.12 	0.06 	0.07 	0.09 	0.09 	0.12 	0.1 b	0.16 	0.21 
A,C_ICT,LU	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,C_ICT,LV	0.18 	0.16 	0.24 	0.23 	0.23 	0.29 	0.46 	0.48 	0.43 	0.4 	0.41 	0.44 
A,C_ICT,MK	: 	: 	0.08 	0.04 	0.1 	0.11 	0.11 p	: c	: c	: c	: c	: 
A,C_ICT,MT	: c	: c	: c	: c	: c	: c	: c	: c	0.8 	0.87 	: c	0.69 
A,C_ICT,NL	: c	: c	: c	: c	0.22 	: c	: c	: c	: c	: c	: c	: c
