country,Persons with ICT education,Individuals lost information as a result of a virus programs,Individuals use a smartphone,Enterprises that provided training to develop/upgrade ICT skills of their personnel ,Individuals - internet use,Had online purchase in the last 3 months,Percentage of ICT sector in GDP,Percentage of the ICT personnel in total employment,Employed ICT specialists,Enterprises that recruited or tried to recruit ICT specialists
European Union - 27 countries,"92,5","4,31","81,4","19,7","89,1","53,76","5,23","3,11","4,3",7
Belgium,"89,7","4,15","82,82","32,6","92,16","64,64","4,32","2,96",5,"16,1"
Bulgaria,"97,5","8,16","60,04","6,7","74,27","15,61","7,37","3,2","3,3","7,4"
Czechia,"97,8","2,88","77,72","24,7",89,"58,75","5,05","3,35","4,2","5,9"
Denmark,"91,5","3,97","89,24","30,2","98,82","79,36","4,6","3,65","5,3","10,9"
Germany,"97,3","2,81","87,29","23,8","95,05","75,03","4,44","3,13","4,7","10,2"
Estonia,"94,6","1,41","77,92",17,"89,93","56,53","6,83","4,95","6,2","4,1"
Ireland,"93,8","2,39","69,97",27,"91,95","64,05",NAN,NAN,"5,7","8,5"
Greece,"79,5","3,62","69,46",12,"78,65","38,28","3,23","1,63","2,1",NAN
Spain,"81,9","7,88","93,2","20,1","93,46","53,82",NAN,NAN,"3,9","11,7"
France,"93,8",NAN,NAN,"14,8",NAN,NAN,"4,72","3,29","4,5","7,7"
Croatia,"94,8","14,88","72,57","22,9","79,66","45,81","4,99","2,84","3,7","3,8"
Italy,87,"3,89","77,22","15,5","80,83","31,42",NAN,NAN,"3,6","3,3"
Cyprus,"93,4","3,76","87,52","25,4","90,89","31,11",NAN,NAN,"3,1","7,1"
Latvia,"91,1","3,73","79,28","16,7","89,52","38,27","5,66","4,38","3,6","2,7"
Lithuania,"95,4","2,81","77,45","13,7","83,74","41,63","3,8","3,03","3,3","7,3"
Luxembourg,"94,2","5,13","91,1","21,1","98,54","68,94",NAN,NAN,"6,3","13,9"
Hungary,"96,3","6,57","78,88",16,"86,1","49,27",6,"3,75","3,8","6,3"
Malta,"95,6","5,89","77,38","27,7","87,17","54,48","8,02","4,58","4,3",NAN
Netherlands,"96,7","2,88","88,8","23,8","94,98","77,32",NAN,NAN,"5,9","9,2"
Austria,"95,2","2,51","82,31","17,7","89,01","55,58","3,63","2,82","4,5","10,8"
Poland,"95,7","4,03","77,01","17,8","84,83","46,6","3,77","2,78","3,4","3,4"
Portugal,"93,2","1,59","64,33","22,9","79,47","35,25","4,21","2,73","3,9","4,1"
Romania,"97,2","6,08","66,51","5,9","84,55","22,11","4,25","2,74","2,4","1,7"
Slovenia,"95,6","3,7","75,59","25,7","87,58","51,6","4,03","2,95","4,4","5,3"
Slovakia,"94,2","3,9","76,35","16,2","91,18","47,87","4,66","3,48","4,2","4,2"
Finland,"92,2","2,54","91,97","37,7","97,17","59,66","5,79","4,06","7,6","11,8"
Sweden,"92,2","3,29","90,15","32,1","97,46","72,86","7,09","4,95","7,5","8,7"
Iceland,"89,4","2,39","95,06",NAN,"99,47","61,58","4,63",NAN,"4,7","3,3"
Norway,"98,5","3,51","94,7","33,1","98,06","70,02","4,04","3,3",5,"8,3"
