country,European Union,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Italy,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Norway,Switzerland,Bosnia and Herzegovina,Montenegro,Serbia,Turkiye
Clothes,69.67,68.79,78.10,62.07,71.94,73.70,57.19,68.49,73.55,70.76,65.91,63.82,56.17,64.83,60.23,60.10,64.01,73.53,64.42,75.14,67.58,79.62,65.85,71.83,58.39,69.42,68.03,73.66,59.08,77.38,69.66,75.47
Sports goods,23.41,16.99,25.33,27.91,20.80,22.94,17.17,20.64,27.25,31.97,18.76,22.34,10.75,13.06,18.60,20.99,24.79,36.30,20.22,14.92,24.14,18.34,25.01,27.09,32.88,26.54,29.49,28.18,15.24,29.47,28.14,15.76
Childcare items,19.58,18.87,7.85,16.02,23.50,16.70,18.22,23.31,11.77,23.66,23.48,21.13,12.49,13.87,22.09,21.87,20.64,19.26,23.39,19.59,16.35,15.12,16.63,21.75,11.92,16.55,14.71,24.02,8.88,12.98,16.54,16.11
Furniture,26.18,21.29,11.22,19.59,37.73,24.26,25.21,30.76,13.00,31.89,27.41,35.58,18.21,19.07,24.72,20.56,36.36,32.05,29.12,18.83,22.24,9.79,23.81,24.27,23.02,28.87,27.41,36.05,25.40,12.00,17.16,23.64
Books,23.02,21.60,13.77,19.23,22.49,22.99,19.61,26.51,13.47,26.69,25.56,26.29,6.19,14.08,31.61,21.52,34.20,27.88,27.36,15.53,22.41,13.59,13.75,18.82,17.54,23.90,28.79,36.05,4.98,6.45,12.67,19.59
Devices,20.88,20.02,16.51,20.61,24.50,18.64,20.06,21.70,27.22,28.06,18.37,23.71,17.23,16.69,22.55,22.54,28.98,27.48,23.86,10.39,26.16,13.03,12.67,18.41,23.36,25.52,22.05,36.02,17.63,11.51,11.14,16.09
Household appliances,17.03,16.38,13.78,13.16,25.80,14.72,18.59,15.84,18.17,24.13,15.23,10.03,23.66,20.45,22.89,22.28,38.59,23.50,14.81,16.47,17.65,14.34,17.82,26.37,14.55,20.21,22.12,39.24,19.33,13.15,6.64,15.58
Medicine,21.76,27.35,17.09,26.34,32.56,26.48,25.14,20.21,18.53,20.94,9.65,20.59,19.51,31.66,18.35,23.77,12.75,25.35,29.05,16.82,18.97,14.99,23.76,34.81,15.75,48.61,31.25,24.45,8.36,6.83,17.12,13.18
Resto delivery,29.83,30.52,26.94,35.28,49.37,24.84,39.94,43.75,44.13,41.85,19.86,19.01,22.89,27.23,36.68,41.14,66.75,55.33,34.97,18.40,38.86,32.71,19.91,31.56,40.74,27.98,54.20,45.97,20.99,38.15,8.07,47.63
Food from stores,16.91,13.74,7.15,27.47,22.18,13.67,26.15,10.22,19.02,21.45,17.79,10.81,15.77,23.19,13.71,18.96,39.50,29.68,16.83,11.65,17.34,11.57,9.08,9.59,22.80,22.19,21.78,19.65,18.48,18.10,12.97,37.10
Beauty products,28.29,26.96,30.38,31.05,35.10,21.92,31.98,35.44,25.28,34.14,24.31,25.63,22.36,33.75,32.21,25.36,23.22,37.82,26.66,36.90,29.73,29.13,23.81,29.15,27.47,39.08,38.54,33.86,13.53,19.91,5.47,32.24
